P1 P2 P3 Time
1 1 1 194195
1 1 2 193145
1 1 3 192695
1 1 4 192545
1 1 5 192395
1 1 6 192395
1 1 7 192395
1 1 8 192245
1 1 9 192245
1 1 10 192245
1 1 11 192245
1 1 12 192245
1 1 13 192245
1 1 14 192245
1 1 15 192095
1 1 16 192095
1 1 17 192095
1 2 1 192515
1 2 2 191465
1 2 3 191015
1 2 4 190865
1 2 5 190715
1 2 6 190715
1 2 7 190715
1 2 8 190565
1 2 9 190565
1 2 10 190565
1 2 11 190565
1 2 12 190565
1 2 13 190565
1 2 14 190565
1 2 15 190415
1 2 16 190415
1 2 17 190415
1 3 1 191955
1 3 2 190905
1 3 3 190455
1 3 4 190305
1 3 5 190155
1 3 6 190155
1 3 7 190155
1 3 8 190005
1 3 9 190005
1 3 10 190005
1 3 11 190005
1 3 12 190005
1 3 13 190005
1 3 14 190005
1 3 15 189855
1 3 16 189855
1 3 17 189855
1 4 1 191675
1 4 2 190625
1 4 3 190175
1 4 4 190025
1 4 5 189875
1 4 6 189875
1 4 7 189875
1 4 8 189725
1 4 9 189725
1 4 10 189725
1 4 11 189725
1 4 12 189725
1 4 13 189725
1 4 14 189725
1 4 15 189575
1 4 16 189575
1 4 17 189575
1 5 1 191535
1 5 2 190485
1 5 3 190035
1 5 4 189885
1 5 5 189735
1 5 6 189735
1 5 7 189735
1 5 8 189585
1 5 9 189585
1 5 10 189585
1 5 11 189585
1 5 12 189585
1 5 13 189585
1 5 14 189585
1 5 15 189435
1 5 16 189435
1 5 17 189435
1 6 1 191395
1 6 2 190345
1 6 3 189895
1 6 4 189745
1 6 5 189595
1 6 6 189595
1 6 7 189595
1 6 8 189445
1 6 9 189445
1 6 10 189445
1 6 11 189445
1 6 12 189445
1 6 13 189445
1 6 14 189445
1 6 15 189295
1 6 16 189295
1 6 17 189295
1 7 1 191395
1 7 2 190345
1 7 3 189895
1 7 4 189745
1 7 5 189595
1 7 6 189595
1 7 7 189595
1 7 8 189445
1 7 9 189445
1 7 10 189445
1 7 11 189445
1 7 12 189445
1 7 13 189445
1 7 14 189445
1 7 15 189295
1 7 16 189295
1 7 17 189295
1 8 1 191255
1 8 2 190205
1 8 3 189755
1 8 4 189605
1 8 5 189455
1 8 6 189455
1 8 7 189455
1 8 8 189305
1 8 9 189305
1 8 10 189305
1 8 11 189305
1 8 12 189305
1 8 13 189305
1 8 14 189305
1 8 15 189155
1 8 16 189155
1 8 17 189155
1 9 1 191255
1 9 2 190205
1 9 3 189755
1 9 4 189605
1 9 5 189455
1 9 6 189455
1 9 7 189455
1 9 8 189305
1 9 9 189305
1 9 10 189305
1 9 11 189305
1 9 12 189305
1 9 13 189305
1 9 14 189305
1 9 15 189155
1 9 16 189155
1 9 17 189155
1 10 1 191255
1 10 2 190205
1 10 3 189755
1 10 4 189605
1 10 5 189455
1 10 6 189455
1 10 7 189455
1 10 8 189305
1 10 9 189305
1 10 10 189305
1 10 11 189305
1 10 12 189305
1 10 13 189305
1 10 14 189305
1 10 15 189155
1 10 16 189155
1 10 17 189155
1 11 1 191255
1 11 2 190205
1 11 3 189755
1 11 4 189605
1 11 5 189455
1 11 6 189455
1 11 7 189455
1 11 8 189305
1 11 9 189305
1 11 10 189305
1 11 11 189305
1 11 12 189305
1 11 13 189305
1 11 14 189305
1 11 15 189155
1 11 16 189155
1 11 17 189155
1 12 1 191115
1 12 2 190065
1 12 3 189615
1 12 4 189465
1 12 5 189315
1 12 6 189315
1 12 7 189315
1 12 8 189165
1 12 9 189165
1 12 10 189165
1 12 11 189165
1 12 12 189165
1 12 13 189165
1 12 14 189165
1 12 15 189015
1 12 16 189015
1 12 17 189015
1 13 1 191115
1 13 2 190065
1 13 3 189615
1 13 4 189465
1 13 5 189315
1 13 6 189315
1 13 7 189315
1 13 8 189165
1 13 9 189165
1 13 10 189165
1 13 11 189165
1 13 12 189165
1 13 13 189165
1 13 14 189165
1 13 15 189015
1 13 16 189015
1 13 17 189015
1 14 1 191115
1 14 2 190065
1 14 3 189615
1 14 4 189465
1 14 5 189315
1 14 6 189315
1 14 7 189315
1 14 8 189165
1 14 9 189165
1 14 10 189165
1 14 11 189165
1 14 12 189165
1 14 13 189165
1 14 14 189165
1 14 15 189015
1 14 16 189015
1 14 17 189015
1 15 1 191115
1 15 2 190065
1 15 3 189615
1 15 4 189465
1 15 5 189315
1 15 6 189315
1 15 7 189315
1 15 8 189165
1 15 9 189165
1 15 10 189165
1 15 11 189165
1 15 12 189165
1 15 13 189165
1 15 14 189165
1 15 15 189015
1 15 16 189015
1 15 17 189015
1 16 1 191115
1 16 2 190065
1 16 3 189615
1 16 4 189465
1 16 5 189315
1 16 6 189315
1 16 7 189315
1 16 8 189165
1 16 9 189165
1 16 10 189165
1 16 11 189165
1 16 12 189165
1 16 13 189165
1 16 14 189165
1 16 15 189015
1 16 16 189015
1 16 17 189015
1 17 1 191115
1 17 2 190065
1 17 3 189615
1 17 4 189465
1 17 5 189315
1 17 6 189315
1 17 7 189315
1 17 8 189165
1 17 9 189165
1 17 10 189165
1 17 11 189165
1 17 12 189165
1 17 13 189165
1 17 14 189165
1 17 15 189015
1 17 16 189015
1 17 17 189015
1 18 1 191115
1 18 2 190065
1 18 3 189615
1 18 4 189465
1 18 5 189315
1 18 6 189315
1 18 7 189315
1 18 8 189165
1 18 9 189165
1 18 10 189165
1 18 11 189165
1 18 12 189165
1 18 13 189165
1 18 14 189165
1 18 15 189015
1 18 16 189015
1 18 17 189015
1 19 1 191115
1 19 2 190065
1 19 3 189615
1 19 4 189465
1 19 5 189315
1 19 6 189315
1 19 7 189315
1 19 8 189165
1 19 9 189165
1 19 10 189165
1 19 11 189165
1 19 12 189165
1 19 13 189165
1 19 14 189165
1 19 15 189015
1 19 16 189015
1 19 17 189015
1 20 1 191115
1 20 2 190065
1 20 3 189615
1 20 4 189465
1 20 5 189315
1 20 6 189315
1 20 7 189315
1 20 8 189165
1 20 9 189165
1 20 10 189165
1 20 11 189165
1 20 12 189165
1 20 13 189165
1 20 14 189165
1 20 15 189015
1 20 16 189015
1 20 17 189015
1 21 1 191115
1 21 2 190065
1 21 3 189615
1 21 4 189465
1 21 5 189315
1 21 6 189315
1 21 7 189315
1 21 8 189165
1 21 9 189165
1 21 10 189165
1 21 11 189165
1 21 12 189165
1 21 13 189165
1 21 14 189165
1 21 15 189015
1 21 16 189015
1 21 17 189015
1 22 1 191115
1 22 2 190065
1 22 3 189615
1 22 4 189465
1 22 5 189315
1 22 6 189315
1 22 7 189315
1 22 8 189165
1 22 9 189165
1 22 10 189165
1 22 11 189165
1 22 12 189165
1 22 13 189165
1 22 14 189165
1 22 15 189015
1 22 16 189015
1 22 17 189015
1 23 1 191115
1 23 2 190065
1 23 3 189615
1 23 4 189465
1 23 5 189315
1 23 6 189315
1 23 7 189315
1 23 8 189165
1 23 9 189165
1 23 10 189165
1 23 11 189165
1 23 12 189165
1 23 13 189165
1 23 14 189165
1 23 15 189015
1 23 16 189015
1 23 17 189015
1 24 1 190975
1 24 2 189925
1 24 3 189475
1 24 4 189325
1 24 5 189175
1 24 6 189175
1 24 7 189175
1 24 8 189025
1 24 9 189025
1 24 10 189025
1 24 11 189025
1 24 12 189025
1 24 13 189025
1 24 14 189025
1 24 15 188875
1 24 16 188875
1 24 17 188875
1 25 1 190975
1 25 2 189925
1 25 3 189475
1 25 4 189325
1 25 5 189175
1 25 6 189175
1 25 7 189175
1 25 8 189025
1 25 9 189025
1 25 10 189025
1 25 11 189025
1 25 12 189025
1 25 13 189025
1 25 14 189025
1 25 15 188875
1 25 16 188875
1 25 17 188875
2 1 1 105235
2 1 2 104185
2 1 3 103735
2 1 4 103585
2 1 5 103435
2 1 6 103435
2 1 7 103435
2 1 8 103285
2 1 9 103285
2 1 10 103285
2 1 11 103285
2 1 12 103285
2 1 13 103285
2 1 14 103285
2 1 15 103135
2 1 16 103135
2 1 17 103135
2 2 1 103555
2 2 2 102505
2 2 3 102055
2 2 4 101905
2 2 5 101755
2 2 6 101755
2 2 7 101755
2 2 8 101605
2 2 9 101605
2 2 10 101605
2 2 11 101605
2 2 12 101605
2 2 13 101605
2 2 14 101605
2 2 15 101455
2 2 16 101455
2 2 17 101455
2 3 1 102995
2 3 2 101945
2 3 3 101495
2 3 4 101345
2 3 5 101195
2 3 6 101195
2 3 7 101195
2 3 8 101045
2 3 9 101045
2 3 10 101045
2 3 11 101045
2 3 12 101045
2 3 13 101045
2 3 14 101045
2 3 15 100895
2 3 16 100895
2 3 17 100895
2 4 1 102715
2 4 2 101665
2 4 3 101215
2 4 4 101065
2 4 5 100915
2 4 6 100915
2 4 7 100915
2 4 8 100765
2 4 9 100765
2 4 10 100765
2 4 11 100765
2 4 12 100765
2 4 13 100765
2 4 14 100765
2 4 15 100615
2 4 16 100615
2 4 17 100615
2 5 1 102575
2 5 2 101525
2 5 3 101075
2 5 4 100925
2 5 5 100775
2 5 6 100775
2 5 7 100775
2 5 8 100625
2 5 9 100625
2 5 10 100625
2 5 11 100625
2 5 12 100625
2 5 13 100625
2 5 14 100625
2 5 15 100475
2 5 16 100475
2 5 17 100475
2 6 1 102435
2 6 2 101385
2 6 3 100935
2 6 4 100785
2 6 5 100635
2 6 6 100635
2 6 7 100635
2 6 8 100485
2 6 9 100485
2 6 10 100485
2 6 11 100485
2 6 12 100485
2 6 13 100485
2 6 14 100485
2 6 15 100335
2 6 16 100335
2 6 17 100335
2 7 1 102435
2 7 2 101385
2 7 3 100935
2 7 4 100785
2 7 5 100635
2 7 6 100635
2 7 7 100635
2 7 8 100485
2 7 9 100485
2 7 10 100485
2 7 11 100485
2 7 12 100485
2 7 13 100485
2 7 14 100485
2 7 15 100335
2 7 16 100335
2 7 17 100335
2 8 1 102295
2 8 2 101245
2 8 3 100795
2 8 4 100645
2 8 5 100495
2 8 6 100495
2 8 7 100495
2 8 8 100345
2 8 9 100345
2 8 10 100345
2 8 11 100345
2 8 12 100345
2 8 13 100345
2 8 14 100345
2 8 15 100195
2 8 16 100195
2 8 17 100195
2 9 1 102295
2 9 2 101245
2 9 3 100795
2 9 4 100645
2 9 5 100495
2 9 6 100495
2 9 7 100495
2 9 8 100345
2 9 9 100345
2 9 10 100345
2 9 11 100345
2 9 12 100345
2 9 13 100345
2 9 14 100345
2 9 15 100195
2 9 16 100195
2 9 17 100195
2 10 1 102295
2 10 2 101245
2 10 3 100795
2 10 4 100645
2 10 5 100495
2 10 6 100495
2 10 7 100495
2 10 8 100345
2 10 9 100345
2 10 10 100345
2 10 11 100345
2 10 12 100345
2 10 13 100345
2 10 14 100345
2 10 15 100195
2 10 16 100195
2 10 17 100195
2 11 1 102295
2 11 2 101245
2 11 3 100795
2 11 4 100645
2 11 5 100495
2 11 6 100495
2 11 7 100495
2 11 8 100345
2 11 9 100345
2 11 10 100345
2 11 11 100345
2 11 12 100345
2 11 13 100345
2 11 14 100345
2 11 15 100195
2 11 16 100195
2 11 17 100195
2 12 1 102155
2 12 2 101105
2 12 3 100655
2 12 4 100505
2 12 5 100355
2 12 6 100355
2 12 7 100355
2 12 8 100205
2 12 9 100205
2 12 10 100205
2 12 11 100205
2 12 12 100205
2 12 13 100205
2 12 14 100205
2 12 15 100055
2 12 16 100055
2 12 17 100055
2 13 1 102155
2 13 2 101105
2 13 3 100655
2 13 4 100505
2 13 5 100355
2 13 6 100355
2 13 7 100355
2 13 8 100205
2 13 9 100205
2 13 10 100205
2 13 11 100205
2 13 12 100205
2 13 13 100205
2 13 14 100205
2 13 15 100055
2 13 16 100055
2 13 17 100055
2 14 1 102155
2 14 2 101105
2 14 3 100655
2 14 4 100505
2 14 5 100355
2 14 6 100355
2 14 7 100355
2 14 8 100205
2 14 9 100205
2 14 10 100205
2 14 11 100205
2 14 12 100205
2 14 13 100205
2 14 14 100205
2 14 15 100055
2 14 16 100055
2 14 17 100055
2 15 1 102155
2 15 2 101105
2 15 3 100655
2 15 4 100505
2 15 5 100355
2 15 6 100355
2 15 7 100355
2 15 8 100205
2 15 9 100205
2 15 10 100205
2 15 11 100205
2 15 12 100205
2 15 13 100205
2 15 14 100205
2 15 15 100055
2 15 16 100055
2 15 17 100055
2 16 1 102155
2 16 2 101105
2 16 3 100655
2 16 4 100505
2 16 5 100355
2 16 6 100355
2 16 7 100355
2 16 8 100205
2 16 9 100205
2 16 10 100205
2 16 11 100205
2 16 12 100205
2 16 13 100205
2 16 14 100205
2 16 15 100055
2 16 16 100055
2 16 17 100055
2 17 1 102155
2 17 2 101105
2 17 3 100655
2 17 4 100505
2 17 5 100355
2 17 6 100355
2 17 7 100355
2 17 8 100205
2 17 9 100205
2 17 10 100205
2 17 11 100205
2 17 12 100205
2 17 13 100205
2 17 14 100205
2 17 15 100055
2 17 16 100055
2 17 17 100055
2 18 1 102155
2 18 2 101105
2 18 3 100655
2 18 4 100505
2 18 5 100355
2 18 6 100355
2 18 7 100355
2 18 8 100205
2 18 9 100205
2 18 10 100205
2 18 11 100205
2 18 12 100205
2 18 13 100205
2 18 14 100205
2 18 15 100055
2 18 16 100055
2 18 17 100055
2 19 1 102155
2 19 2 101105
2 19 3 100655
2 19 4 100505
2 19 5 100355
2 19 6 100355
2 19 7 100355
2 19 8 100205
2 19 9 100205
2 19 10 100205
2 19 11 100205
2 19 12 100205
2 19 13 100205
2 19 14 100205
2 19 15 100055
2 19 16 100055
2 19 17 100055
2 20 1 102155
2 20 2 101105
2 20 3 100655
2 20 4 100505
2 20 5 100355
2 20 6 100355
2 20 7 100355
2 20 8 100205
2 20 9 100205
2 20 10 100205
2 20 11 100205
2 20 12 100205
2 20 13 100205
2 20 14 100205
2 20 15 100055
2 20 16 100055
2 20 17 100055
2 21 1 102155
2 21 2 101105
2 21 3 100655
2 21 4 100505
2 21 5 100355
2 21 6 100355
2 21 7 100355
2 21 8 100205
